Name,Logo,Teaser,Sector,Company Stage,Business Model,Customer Focus,Founding Year,Team Size,Handelsregister,Headquarter,Official Website,On Social Media,Legal Entity,About,Members
soap & precede,https://cdn.startbase.com/images/company/heimathaufen-gmbh/b9375393f9/?w=205&h=64,"Development, production and distribution of sustainable ""powder-to-liquid"" shower gel and shampoo.",Nutrition & Consumables,Growth Stage,Manufacturing,B2C,2018,1-10 Employees,Found,"Hamburg, DE",heimathaufen.de,"['https://www.instagram.com/soapandprecede/', 'https://twitter.com/soapandprecede', 'https://www.facebook.com/soapandprecede']",HEIMATHAUFEN GmbH,"For everybody, who cares about living a sustainable life and wants their bathroom to be zero waste, our all in. WASH. is a personal care product, that's enabling exact that - by being environmentally friendly and low-packaging like a solid bar of soap and yet the liquid product customers love and prefer to use. Unlike traditional liquid products like shower gel or shampoo, the all in. WASH. saves up to 90% of CO2 emissions and 95% of plastic packaging during its life cycle - all due to our ""powder-to-liquid"" formula.","{'Oliver Schumacher': 'Co-Founder', 'Boris Schumacher': 'Co-Founder'}"
creditshelf,https://cdn.startbase.com/images/1a561f36f4828663fd24c3d68a01a1fc/a3bb60ff8cc60d4/?w=205&h=64,Creditshelf - we redesign SME financing!,Finance & Insurance,Growth Stage,Other,B2B,2014,11-50 Employees,Found,"Frankfurt, DE",creditshelf.com,"['https://twitter.com/creditshelf', 'https://www.linkedin.com/company/creditshelf-ag', 'https://www.xing.com/xbp/pages/creditshelf-ag', 'https://www.youtube.com/channel/UC-ZnVjRry9ODsBmu4cZKQbg?view_as=subscriber', 'https://www.facebook.com/creditshelf/']",creditshelf AG,"creditshelf ist der Finanzierungspartner für mittelständische Unternehmer, die Innovationen vorantreiben und Unternehmen weiterentwickeln wollen.",{'Birgit Hass': ''}
Swarm Logistics,https://cdn.startbase.com/images/company/swarm-logistics/41d65cadee/?w=205&h=64,"Swarm Logistics GmbH is a Deep-Tech software technology company specializing in the development of intelligent, autonomous transportation systems.",Industrial & Basic Materials,Startup Stage,SaaS,B2B,2018,n/a,Found,"Stuttgart, DE",swarmlogistics.net,"['https://twitter.com/swarmlogistics', 'https://www.linkedin.com/company/swarm-logistics', 'https://www.youtube.com/channel/UCPmlKyFXbuNdSfQTjBy8-qw', 'https://www.facebook.com/SwarmLogistics']",Swarm Logistics GmbH,"Swarm Logistics is a Deep-Tech software technology company specializing in the development of intelligent, autonomous transportation systems.",{'Damir Dulovic': ''}
Mädchenflohmarkt,https://cdn.startbase.com/images/company/m-dchenflohmarkt/fc5b1991ae/?w=205&h=64,"Mädchenflohmarkt develops an online market for the best ""used"" pieces for second hand sale.",Textiles,Growth Stage,Platform,B2C,2012,101-250 Employees,Found,"Stuttgart, DE",maedchenflohmarkt.de,"['https://www.instagram.com/maedchenflohmarkt/', 'https://twitter.com/Mdchenflohmarkt', 'https://www.linkedin.com/company/m%C3%A4dchenflohmarkt/', 'https://www.xing.com/companies/m%C3%A4dchenflohmarktgmbh', 'https://www.youtube.com/user/MaedchenflohmarktDE', 'https://www.facebook.com/maedchenflohmarkt.de']",Mädchenflohmarkt GmbH,"Mädchenflohmarkt ist der Marktplatz für hochwertige Second Hand Designermode und Vintage-Fashion. Über eine eine Millionen Mitglieder kaufen und verkaufen seit Mitte 2012 Kleidung, Schuhe, Taschen und Accessoires von klassischen Designern bis zu den angesagtesten Trendmarken. So finden sich täglich Tausende neue Artikel von Louis Vuitton, Prada, Gucci, Chanel über Romwe, Asos, Primark, Amisu bis hin zu H&M, Zara und vielen mehr. Die Verkäuferinnen haben so die Möglichkeit, ihre Kleiderschränke zu leeren, Platz für neue Kleidung zu schaffen und Geld zu verdienen für neue Mode. Unter den Verkäufern finden sich von bekannten Mode-Bloggerinnen über Stars aus den Medien bis hin zur begeisterten Fashionista die gesamte Bandbreite an Mode Liebhaberinnen. Käufern bietet sich durch die Vielfalt des Marktplatzes ein Paradies zum günstigen Einkaufen von Designermode und Trendmarken, von Klassikern bis hin zur aktuellen Kollektion.",{'Peter Ambrozy': ''}
ViveLaCar,https://cdn.startbase.com/images/970698203834f2017675ab5bb46125a1/f487d99de59d45e/?w=205&h=64,Mobility platform that allows drivers to conveniently rent cars within an all-inclusive subscription model.,"Automotive, Logistics & Mobility",Startup Stage,Platform,B2B2C,2019,11-50 Employees,Found,"Stuttgart, DE",vivelacar.com,"['https://www.instagram.com/vivelacar_autoabo/', 'https://www.linkedin.com/company/vive-la-car-gmbh/', 'https://www.xing.com/companies/vivelacargmbh', 'https://www.youtube.com/channel/UC7b0B-6rHM8LfkrKWpTqrIQ', 'https://www.facebook.com/vivelacar/']",ViveLaCar GmbH,"The ViveLaCar car subscription closes the gap between leasing and short term rental. Without a fixed duration and with only a three months notice period, you are able to terminate the ViveLaCar subscription at any time. In addition, maximum flexibility is offered in terms of the mileage package: adjust your mileage package monthly free of charge to your actual needs and thereby control the subscription rate - if you drive less, you pay less. ViveLaCar's flexible subscription includes a completely paperless process, as well as a monthly all-inclusive rate that includes all costs except fuel.","{'Florine von Caprivi': 'CRO', 'Mathias Albert': 'Founder'}"
Recup,https://cdn.startbase.com/images/company/recup/477b3bc478/?w=205&h=64,Brands of reCup GmbH. Innovative and sustainable returnable deposit system for Coffee-To-Go cups and Take-away bowls.,Nutrition & Consumables,Startup Stage,Sale of Services,B2B,2016,11-50 Employees,Found,"München, DE",recup.de,"['https://twitter.com/recup2go', 'https://www.linkedin.com/company/recupgmbh/', 'https://www.xing.com/companies/recupgmbh', 'https://www.youtube.com/channel/UCbQnazYLvjGKzUhueK0LWoQ', 'https://www.facebook.com/recup2go/']",Recup GmbH,"Pro Stunde werden in Deutschland ca. 320.000 Einwegbecher für Coffee-to-go verbraucht. Die Müllberge, die dabei entstehen sind immens. Und genau denen hat RECUP den Kampf angesagt. Mit ihrem deutschlandweitem Pfandsystem für Coffee-to-go Becher haben sie sich zum Ziel gesetzt den Coffee-to-go Markt zu revolutionieren. Und das mit Erfolg.","{'Stefanie Ullrich': '', 'Florian Pachaly': 'Founder', 'Fabian Eckert': 'Founder'}"
ParkHere,https://cdn.startbase.com/images/55e1d72d8041e8b6b749fa0d79eceb70/cde31ae5f361f1b/?w=205&h=64,Smart High-Tech Solutions for Digital Parking Management,"Automotive, Logistics & Mobility",Startup Stage,SaaS,B2B,2015,11-50 Employees,Found,"München, DE",park-here.eu,"['https://twitter.com/ParkHere_muc', 'https://www.linkedin.com/company/parkhere', 'https://www.xing.com/companies/parkhere', 'https://www.facebook.com/ParkHereMakesParkingEasy']",ParkHere GmbH,"Die Städte wachsen, und die daraus resultierenden Verkehrsprobleme nehmen zu. In Deutschland pendeln täglich über 8 Millionen Menschen mit dem Auto zur Arbeit. Tatsächlich sind die Unternehmen die größten Eigentümer von Parkplätzen im Land. Sie besitzen 12-mal so viele Parkplätze wie die drei größten kommerziellen Parkraumanbieter zusammen! Diese Unternehmen benötigen professionelle und innovative Lösungen, um die Parkraumbewirtschaftung umzusetzen und die Herausforderungen der Mobilitätswende zu meistern. Und diese Lösung bietet ParkHere.",{'Felix Bopf': ''}
Blinkist,https://cdn.startbase.com/images/company/blinkist/67a07b7122/?w=205&h=64,"Blinkist offers the best selection of nonfiction knowledge that fits into your life, for an immediate and personal learning experience.",Education,Growth Stage,SaaS,B2C,2012,101-250 Employees,Found,"Berlin, DE",blinkist.com,"['https://twitter.com/blinkist', 'http://www.linkedin.com/company/blinkist/', 'https://www.youtube.com/channel/UCBdnxbKcilNGg39dISm77oQ', 'https://www.facebook.com/blinkist']",Blinkist GmbH,"Neben den 10 Millionen Kostenlosnutzern, hat Blinkist weltweit derzeit eine halbe Millionen Abonnenten. 77% mehr als im Vorjahr (Stand: 2018). Auch die Umsatzerlöse konnten um 167% gesteigert werden.","{'nora voss': '', 'Holger Seim': 'Founder', 'Niklas Jansen': 'Founder'}"
SPACEGOATS,https://cdn.startbase.com/images/company/spacegoats/db0ab57beb/?w=205&h=64,Distribution of physical products on Amazon Marketplaces worldwide as software AND service to enable small and medium size companies to grow internationally in short time.,IT and Communications,Growth Stage,Retail / E-Commerce,B2B,2019,11-50 Employees,Found,"Stuttgart, DE",spacegoats.io,"['https://www.instagram.com/spacegoats_io/', 'https://www.linkedin.com/company/18888675/', 'https://www.youtube.com/channel/UCe5T55BDs9ZiPhZWSVswlMg/', 'https://www.facebook.com/spacegoats.io/']",SPACEGOATS GmbH,"Der Name SPACEGOATS bedeutet übersetzt Weltraumziegen - warum das? Ziegen sind die Astronauten der Tierwelt. Sie haben hohe Ziele, genau wie die Kunden von SPACEGOATS. Das Startup stellt ihnen dafür den nötigen SPACE (übersetzt: Raum) zur Verfügung. Somit bietet SPACEGOATS Unternehmen die Möglichkeit, über sich hinaus zu wachsen und sprichwörtlich abzuheben. 2019 im Herzen von Stuttgart gegründet, befindet sich SPACEGOATS auf der Überholspur im E-Commerce-Business. Im Februar diesen Jahres erhielten sie erst eine Millionen-Finanzierung des High-Tech Gründerfonds. Mehr dazu im Interview!","{'Manuel Eynollahiargaghy': 'CEO & Co-Founder', 'Andreas Menge': 'SVP Engineering', 'Anton Hermann': 'CTO & Co-Founder', 'Rona Eccard': 'Marketing & Communication'}"
DeepVA,https://cdn.startbase.com/images/company/the-chainless-deepva/1e066659a3/?w=205&h=64,"DeepVA is a European AI platform for deep visual understanding that uses state-of-the-art deep learning to gain important insights from all types of images, videos and live streams | Supported by Nvidia, Amazon and Deutsche Telekom",IT and Communications,Startup Stage,SaaS,B2B,2018,11-50 Employees,Found,"Freiburg im Breisgau, DE",deepva.com,"['https://www.linkedin.com/company/the-chainless/', 'https://www.facebook.com/DeepVideoAnalysis/']",The Chainless GmbH,"DeepVA is a European AI platform for deep visual understanding that uses state-of-the-art deep learning to support corporates by gaining important insights from all types of images, videos, and live streams. Its award-winning technology provides a high level of performance, reliability, and security | Supported by the European Union, Nvidia, Amazon and Deutsche Telekom","{'Christian Hirth': 'Co-Founder & CEO', 'Frederik Böhm': 'Co-Founder & CTO', 'Amir Saheb Fosoul': 'Full-Stack Developer', 'Janik Böhm': 'AI-Assistant', 'Alp Emek': 'AI-Expert', 'Esther Arroyo Garcia': 'Co-Founder & CMO', 'Borna Besic': 'AI-Expert'}"
Leankoala & koality.io,https://cdn.startbase.com/images/72eac9720da2f435d3057b9908ce2965/8578b693286db8b/?w=205&h=64,Fully automated website monitoring and testing,IT and Communications,Startup Stage,SaaS,B2B,2016,1-10 Employees,Found,"Hamburg, DE",leankoala.com,"['https://www.instagram.com/leankoala/', 'https://twitter.com/koalityio', 'https://www.linkedin.com/company/leankoala', 'https://www.xing.com/companies/leankoala%2F%2Fmonitoringmeetstesting', 'https://www.youtube.com/channel/UCJLqMSqj2DIsCPKA19omzvA', 'https://www.facebook.com/tr?id=205167996892955&ev=PageView&noscript=1']",Leankoala GmbH,"Das 2016 gegründete Hamburger Startup ermöglicht Web Monitoring und Testing für Unternehmen, die ihre digitale Transformation erfolgreich gestalten wollen. Seit 2017 ist Leankoala Teil des Förderprogramms ""InnoRampUp"" der IFB Hamburg und zählt damit zu einem der aussichtsreichsten und fortschrittlichsten Unternehmen der Startup-Szene.","{'Stefanie Langner': 'CxO & Co-Founder', 'Nils Langner': 'Founder'}"
BitterPower,https://cdn.startbase.com/images/company/bitterpower-gmbh/907610d497/?w=205&h=64,The mission statement of BitterPower GmbH is to reclaim the potency to be found in bitters and bring it back into the diet of the people.,Life Science & Healthcare,Startup Stage,Retail / E-Commerce,B2C,2018,1-10 Employees,Found,"Mannheim, DE",bitterliebe.com,"['https://www.linkedin.com/company/bitterliebe', 'https://www.xing.com/companies/bitterpowergmbh', 'https://facebook.com/bitterliebe']",BitterPower GmbH,"The mission statement of BitterPower GmbH is to reclaim the potency to be found in bitters and bring it back into the diet of the people. The most important goal of this enterprise is first class products - the child of this ethos is the product; ""BitterLiebe"". ",{'Andre Sierek': ''}
Pioniergeist,https://cdn.startbase.com/images/company/pioniergeist-gmbh/37773d81d3/?w=205&h=64,"Pioniergeist orchestrates an innovation ecosystem around startups, corporates, universities and investors in order unleash the pioneering spirit in the heart of europe and transform its businesses through the change of digitization.",Consulting,Growth Stage,Sale of Services,B2B,2016,11-50 Employees,Found,"Stuttgart, DE",pioniergeist.xyz,"['https://www.linkedin.com/company/pioniergeist/', 'https://www.xing.com/companies/pioniergeistgmbh', 'https://www.facebook.com/pioniergeist.io/']",Pioniergeist GmbH,"We guide Mittelstand & industry through the present change of times an contribute to a successful transformation in an era of growing digitalization and uncertainties. We comprehend humankind, nature and technology as an inseparable unity to shape a sustainable future of economic, social & cultural prosperity.","{'Salomee Bracke': '', 'Adrian Thoma': 'founder', 'Alena Herget': '', 'Anna Scheck': ''}"
Roamlike,https://cdn.startbase.com/images/75aca6bf7889304c1074fbad762feaaf/3411ffd726606cd/?w=205&h=64,,IT and Communications,Startup Stage,Platform,B2B,2018,1-10 Employees,Found,"Köln, DE",roamlike.com,"['https://www.instagram.com/roamlike/', 'https://www.linkedin.com/company/roamlike/', 'https://www.xing.com/companies/roamlikegmbh', 'https://www.facebook.com/roamlike/']",Roamlike GmbH,Roamlike hilft Gastgebern mit Gratisprodukten und Bestpreisen beim Ausstatten der Ferienwohnung.,"{'Hendrik Schubert': 'Co-Founder', 'Tim Kohlen': 'Co-Founder', 'Jens Büschgens': 'Co-Founder', 'Martin Jan Korus': 'Co-Founder'}"
Weltenmacher,https://cdn.startbase.com/images/company/weltenmacher-gmbh/b79d549c70/?w=205&h=64,Increasing patient safety through Virtual Reality training simulations.,Education,Startup Stage,SaaS,B2B,2017,11-50 Employees,Found,"Düsseldorf, DE",weltenmacher.de,"['https://twitter.com/dieweltenmacher', 'https://www.linkedin.com/company/weltenmacher', 'https://www.youtube.com/channel/UCgAjhpgf7m3hYHmYfIdvSPg', 'https://www.facebook.com/Weltenmacher-GmbH-899213590242262/']",Weltenmacher GmbH,"Wie wäre es, wenn man die Durchführung einer Heimdialyse mit einer VR-Brille lernen könnte? Oder wie können VR-Simulationen die Chemiebranche revolutionieren?",{'Jonathan Natzel': ''}
agileGravity,https://cdn.startbase.com/images/company/agilegravity/ed054199cf/?w=205&h=64,"We develop Business AI Solutions.
Our Business AI is an AI-supported software layer with a bot component that connects the data & service silos and puts the customer at the centre of the customer journey with need-based & individual data.",IT and Communications,Seed Stage,SaaS,B2B,2015,1-10 Employees,Found,"Rheinzabern, DE",agilegravity.com,"['https://www.linkedin.com/company/agilegravity-ug-haftungsbeschränkt', 'https://www.xing.com/companies/agilegravityug', 'https://www.youtube.com/channel/UCeixDn_MpqvY28w4mjou47w']",agileGravity UG (haftungsbeschränkt),"We provide business AI software solutions and our goal is to connect all products and services of a company to our adaptive communication & decision engine: our Business A.I. It is, where the customer is, within your website and supports your customer on the point with the information he needs: products, cross selling, questions regarding service, returns. It is NOT THE NEXT customer touchpoint!","{'Balázs Turán': 'Partner', 'Peter Stahl': 'Founder & Partner', 'Benedikt Weiner': 'Founder & Partner'}"
DiscoEat,https://cdn.startbase.com/images/company/discoeat/5535d30dd2/?w=205&h=64,B2B2C platform that solves the problem of unused capacity of small consumer-facing businesses like restaurants. Our yield management engine optimizes the profit of B2B customers (currently restaurants only).,Other,Startup Stage,Platform,B2B2C,2018,11-50 Employees,Found,"Berlin, DE",discoeat.com,"['https://www.instagram.com/discoeat.de/', 'https://twitter.com/DiscoEat', 'https://www.linkedin.com/company/discoeat/', 'https://www.xing.com/companies/discoeat', 'https://www.youtube.com/channel/UCbe7HXiX4AKHejiWsd0yeOQ', 'https://www.facebook.com/discoeat/']",Nimo GmbH,We are a B2B2C platform with a Saas component that solves the problem of unused capacity in consumer-facing service industries. Our yield management ,{'Moritz Heininger': ''}
Olmatic,https://cdn.startbase.com/images/company/olmatic/e6597757e6/?w=205&h=64,"We develop, manufacture and market devices and systems for energy management and digital networking through central control units in the Industry 4.0 and IoT sectors.",Energy & Electricity,Startup Stage,Manufacturing,B2B,2016,1-10 Employees,Found,"Nagold, DE",olmatic.de,"['https://twitter.com/OlmaticGmbH/', 'https://www.linkedin.com/company/olmatic', 'https://www.youtube.com/channel/UCUtp33bXHhjwUiZhovWWP0w', 'https://www.facebook.com/olmaticgmbh']",Olmatic GmbH,"In order to fully utilize the available energy in a system compared to conventional methods, our Olmatic Power Tracking realizes dynamic and intelligent power distribution by prioritizing and regulating every energy consumers. Through this physical and platform independent distribution of existing energy we achieve up to 100% self-sufficiency.","{'Dr. Amr Elhadidy': 'R&D - Hardware Engineer', 'Tobias Olma': 'Director Research & Development', 'Christian Olma': 'Director Marketing & Sales', 'Patrick Olma': 'Director Business Strategy & Finance'}"
vencortex,https://cdn.startbase.com/images/company/vencortex/787af90d46/?w=205&h=64,"We empower businesses to make better, more precise, and continuously improving strategic decisions with our AI-powered decision platform.",IT and Communications,Seed Stage,SaaS,B2B,2018,1-10 Employees,Found,"Kassel, DE",vencortex.io,"['http://www.twitter.com/vencortexhi', 'https://www.linkedin.com/company/vencortex', 'https://www.youtube.com/channel/UC4EGuQdmfigZeha4GGr6wkg?view_as=subscriber', 'http://ww.facebook.com/vencortex']",vencortex UG,"Existing solutions are failing to support business leaders of the 2020s in providing executives with the real-time insights they need to take the right actions at the right time. Their business analysts lack the tools to uncover uncertainty and the ""why?"" behind a company´s KPIs. But the answers are there — hidden in data and organizational knowledge.",{'Dr. Dominik Dellermann': 'CEO '}
KOENA tec,https://cdn.startbase.com/images/company/koena-tec/e1d01c1370/?w=205&h=64,KOENA tec operates an IoT platform for smart energy services to make the restaurant sector more sustainable and energy efficient,Energy & Electricity,Seed Stage,Platform,B2B,2017,1-10 Employees,Found,"Stuttgart, DE",koena-tec.com,"['https://www.linkedin.com/company/koena-tec', 'https://www.facebook.com/koena.energy']",KOENA tec GmbH,"The restaurant sector has a very high energy consumption and a huge potential to reduce it. This is what we have made to our task. On our platform, we connect manufacturers, restaurants and other key partners. With our self-developed smart plug we enable the measurement of energy data which we use to offer energy efficiency and maintenance services to increase sustainability and efficiency.","{'Malcolm Yadack': 'Co-Founder and Co-CEO', 'Paul Flachbart': 'Software Development', 'Max Gemmeke': 'Marketing', 'Pirmin Boch': 'Co-Founder and CTO', 'Maike Doneit': 'Head of Sales', 'Manuel Armbruster': 'Co-Founder and Co-CEO'}"
R3DT,https://cdn.startbase.com/images/company/r3dt-gmbh-meet-your-reality/6e1a720b58/?w=205&h=64,R3DT offers probably the most user-friendly virtual reality tool for industrial engineers.,Other,Startup Stage,Other,B2B,2014,1-10 Employees,Found,"Karlsruhe, DE",r3dt.com,"['https://twitter.com/achimschneider3', 'https://www.linkedin.com/company/r3dt', 'https://www.xing.com/companies/r3dtgmbh-meetyourreality', 'https://www.facebook.com/ru3denauer']",R3DT Gesellschaft mit beschränkter,"R3DT bietet das benutzerfreundlichste Virtual Reality-Tool für Industrial Engineers, die in der frühen Planungsphase Fehler vermeiden möchten. Interessant ist das VR-Tool zur Konstruktionsdurchsprache und Abnahme z.B. für die Arbeits- und Montageplanung, Layoutplanung von Fabriken, Produktentwicklung, im Sondermaschinen- und Anlagenbau sowie im technischen Vertrieb. Aufwendige Mockups und echte Prototypen werden überflüssig. Unterm Strich spart man viel Zeit und Geld. ",{'Achim Schneider': ''}
epap,https://cdn.startbase.com/images/company/epap/8e0a657f22/?w=205&h=64,Reinventing receipts.,Finance & Insurance,Seed Stage,Platform,B2B2C,2020,1-10 Employees,Found,"Hannover, DE",epap.app,['https://www.linkedin.com/company/epap-app'],epap GmbH,Gegründet wurde das Startup 2020. Passend zur Einführung der Bonpflicht. Eine erste Seed Finanzierung gab es bereits auch im April dieses Jahres und die Userzahlen steigen. Aktuell liegt die App bei ca.10.000 Nutzern. In 15.000 Geräten wurde das System bereits etabliert. Tendenz steigend.,"{'Ruth Rottwitt': 'Marketing & Communication Manager', 'Jannis Dust': '', 'Gerd Trang': ''}"
Targomo,https://cdn.startbase.com/images/company/targomo/6386c5461e/?w=205&h=64,"We bring together location analytics and artificial intelligence, generating data-based insights to predict and improve all operations with a location component. Covid-19 solutions: medical capacity analytics, delivery planning and social distancing.",IT and Communications,Growth Stage,SaaS,B2B,2013,11-50 Employees,Found,"Potsdam, DE",targomo.com,"['https://twitter.com/targomo', 'https://www.linkedin.com/company/targomo/', 'https://www.youtube.com/channel/UCxAN_26GHxldAv4FwXkxMWg', 'https://www.facebook.com/targomo/']",Targomo GmbH,"Bringing together advanced location analysis & artificial intelligence, Targomo helps organizations generate data-based insights and forecasts to boost performance. Targomo offers location intelligence solutions that convert complex geospatial research into actionable insights, allowing customers to optimize their retail networks and predict performance, deliver better public services, and to improve real estate search and logistics routing.",{'Henning Hollburg': 'Founder and Managing Director'}
Packwise,https://cdn.startbase.com/images/company/packwise/a863124d4d/?w=205&h=64,Organization and automation of industrial packaging cycles using a cloud-based platform and IoT developments.,"Automotive, Logistics & Mobility",Startup Stage,Manufacturing,B2B,2017,1-10 Employees,Found,"Dresden, DE",packwise.de,"['https://twitter.com/packwise_b2b', 'http://www.linkedin.com/company/packwise-gmbh/', 'https://www.xing.com/companies/packwisegmbh', 'https://www.facebook.com/pg/PackwiseGmbH/']",Packwise GmbH,"Unser Ziel ist es, Prozesse rund um die Wiederverwendung und Gesamtorganisation von Industrieverpackungen durch Einbindung dieser in intelligente Kreisläufe, zu optimieren und somit effizienter und ressourcenschonender zu gestalten und damit die CO2-Bilanz zu verbessern.","{'Sarah Alexander': 'Innovationsassistent', 'Gesche Weger': 'Founder'}"
Laserhub,https://cdn.startbase.com/images/company/laserhub/ee1875da79/?w=205&h=64,"We offer a simple, fast and effective platform to buy every laser and sheet metal parts online in seconds.",Industrial & Basic Materials,Startup Stage,Other,B2B,2017,1-10 Employees,Found,"Stuttgart, DE",laserhub.de,['https://www.linkedin.com/company/laserhub-gmbh/'],Laserhub GmbH,Laserhub ist die einfache und effiziente Lösung für die Beschaffung von individuellen Blechteilen auf Basis kundespezifischer CAD Zeichnungen. ,{'Adrian Raidt': ''}
EquilTec,https://cdn.startbase.com/images/company/equil/0196d54672/?w=205&h=64,Developer of an AI supported sensor bio-feedback system to relieve desk workers from shoulder and neck pain.,Life Science & Healthcare,Seed Stage,Manufacturing,B2C,2019,1-10 Employees,Found,"Ulm, DE",equil.de,"['https://www.instagram.com/equil__official/', 'https://www.linkedin.com/company/equilofficial/', 'https://www.youtube.com/channel/UCfz0cCo9brZR4Xl1THO56_Q', 'http://www.facebook.com/equilofficial/']",EquilTec GmbH,"We fight shoulder and neck pain for desk workers. Our wearable health coach is an AI-based sensor feedback system. We recognize those subconscious postures that are the causes of the pain and make them aware to the user. This way, we achieve a long-term learning effect for the user’s body. All in all, we offer a sustainable relief of the neck and shoulder muscles with minimal effort for the user.","{'Constantin Diesch': 'CEO', 'Vanessa Appel': 'CMO/CFO'}"
mySHOEFITTER,https://cdn.startbase.com/images/company/myshoefitter/d640c1fd7d/?w=205&h=64,Biometric foot measurement with a smartphone to find the exact shoe size for the consumer.,IT and Communications,Startup Stage,SaaS,B2B2C,2020,1-10 Employees,Found,"Hamm, DE",myshoefitter.com,"['https://www.instagram.com/myshoefitter/', 'https://www.linkedin.com/company/shoefiter/', 'https://www.youtube.com/channel/UCuMzakCBxuJFANHkmfxWqIA?view_as=subscriber', 'https://www.facebook.com/myshoefitter/']",mySHOEFITTER GmbH,"mySHOEFITTER is a scientifically based, biometric foot measurement technology for mobile devices. With this application, customers of online stores can measure their feet themselves with millimeter precision in order to determine the exact fitting shoe size for their online purchases.","{'Markus Piebrock': 'Co-Founder + CEO', 'Frederik Dürr': 'Co-Founder + CMO', 'Claudia Ebbers': 'Co-Founder + COO'}"
vialytics,https://cdn.startbase.com/images/company/vialytics-gmbh/9d6936569c/?w=205&h=64,The vialytics system offers municipalities and countries innovative maintenance software that detects road damage and other damages,IT and Communications,Startup Stage,Other,B2G,2017,11-50 Employees,Found,"Stuttgart, DE",vialytics.de,"['http://www.twitter.com/vialytics', 'https://www.linkedin.com/company/vialytics/']",vialytics GmbH,"Mittels eines Smartphones mit Vialytics App, das in kommunalen Fahrzeugen angebracht wird, werden Bild-und Erschütterungsdaten über den Straßenzustand erhoben. Schäden wie Flickstellen, Risse oder offene Fugen werden vom vialytics Algorithmus eigenständig erkannt und in das System übertragen. Kommunen haben so die Möglichkeit ihren Straßenzustand in Echtzeit zu überwachen und bei Bedarf geeignete Restaurierungsmaßnahmen zu ergreifen.",{'Danilo Jovicic': ''}
Meshparts,https://cdn.startbase.com/images/company/meshparts/e3276e1031/?w=205&h=64,We have developed an innovative finite element simulation software for structural-dynamic simulation of assemblies.,IT and Communications,Startup Stage,SaaS,B2B,2013,11-50 Employees,Found,"Stuttgart, DE",meshparts.de,"['https://twitter.com/AlexDadalau', 'https://www.linkedin.com/company/meshparts-gmbh/', 'https://www.youtube.com/channel/UCCL0r-Bl5GG_pem3o6XCxAA', 'https://www.facebook.com/meshparts/']",Meshparts GmbH,"Meshparts automatisiert den gesamten Prozess der strukturmechanischen Simulation, von der Modellerstellung bis zur Ergebnisauswertung und Berichterstellung. Wir entwickeln als weltweit einziger Anbieter für den Maschinenbau Finite-Elemente-Simulations-Apps und Finite-Elemente-Software im Zusammenhang mit Finite-Elemente-Modellbibliotheken. 2016 hat unsere Software-Lösung eine Reife erreicht, die eine beispiellose einfache Arbeitsweise mit großen mechanischen Baugruppen sowie schnelle und zuverlässige Ergebnisse ermöglicht.","{'Alexandru Dadalau': '', 'T. Ziegler ': ''}"
Patavinus,https://cdn.startbase.com/images/company/patavinus/d1c7755138/?w=205&h=64,"Never lose valuables anymore, because there will always be a finder who helps you directly with a simple chat message","Media, Arts & Entertainment",Startup Stage,Retail / E-Commerce,B2B,2019,1-10 Employees,Found,"Bremen, DE",patavinus.com,"['https://www.linkedin.com/company/patavinus', 'https://www.xing.com/companies/patavinusug', 'https://www.youtube.com/channel/UCrLakkABcfegIn1tJDvIqaA']",Patavinus UG (haftungsbeschränkt),"In the future, each of your valuables will have an own, anonymous chat. If you lose your valuable, the finder can chat with you within 30 seconds, as if you would have been connected via Whatsapp. The difference is: both of you stay anonymous, so nobody has to provide any personal information. And imagine this advantage would cost you 0 Euro, because companies give it to you as promotional item.",{'Moritz Armbrust': ''}
freelance pages,https://cdn.startbase.com/images/company/freelance-pages-ag/eccbe6dd75/?w=205&h=64,An AI based platform for freelancers and enterprises which offers huge savings of time and money to enterprise customers,IT and Communications,Startup Stage,SaaS,B2B,2016,1-10 Employees,Found,"Tübingen, DE",freelance-pages.com,"['https://www.linkedin.com/company/freelance-pages-ag', 'https://www.youtube.com/watch?v=Y1hf8NO0fTw&t=4s']",freelance pages AG,Freelance pages is an innovative platform for freelancers and enterprises. Processes are largely automated end-to-end. Basis for automation is artificial intelligence (natural language understanding and neural networks). Our innovative multi-channel sourcing ensures the ability to deliver. The platform offers huge savings of time and money to enterprise customers.,{'Ulrich Conzelmann': ''}
Jolt Energy,https://cdn.startbase.com/images/company/jolt-energy-gmbh/1877869a29/?w=205&h=64,We want to improve charging infrastructure for e-cars by deploying mobile fast chargers in cities.,"Automotive, Logistics & Mobility",Seed Stage,Manufacturing,B2C,2019,1-10 Employees,Found,"Munich, DE",jolt.energy,"['https://www.linkedin.com/company/jolt-energy/', 'https://www.facebook.com/jolt.charging/']",Jolt Energy GmbH,We bring fast-charging downtown!,"{'Maurice Neligan': 'Managing Director', 'Hans Kurt v.Wilmowsky': ''}"
