Name,Logo,Teaser,Sector,Company Stage,Business Model,Customer Focus,Founding Year,Team Size,Handelsregister,Headquarter,Official Website,On Social Media,Legal Entity,About,Members
Watchbooks,https://cdn.startbase.com/images/company/myndseed/4aa4fa9c4a/?w=205&h=64,Contentplatform on which authors summarize their textbooks in precise videos.,Education,Startup Stage,Sale of Services,B2C,2018,1-10 Employees,Found,"Baden-Baden, DE",watchbooks.de,"['https://www.linkedin.com/company/watchbooks', 'https://www.facebook.com/pg/watchbooksofficial/about/?ref=page_internal']",Watchbooks GmbH,,"{'Clemens Walter': 'Founder', 'Nicolas Kamp': 'Founder'}"
Legalhero,https://cdn.startbase.com/images/company/legal-hero/7472c1eb40/?w=205&h=64,App-based review of legal cases by AI chatbots.,Consulting,Startup Stage,Sale of Services,B2C,2017,11-50 Employees,Found,"Berlin, DE",abfindungsheld.de,"['https://www.instagram.com/legalherogmbh/', 'https://www.twitter.com/abfindungsheld', 'https://www.linkedin.com/company/legal-hero/']",Legal Hero GmbH,,{'Robin Friedlein': 'Founder'}
CellmatiQ,https://cdn.startbase.com/images/company/cellmatiq/27bf880cd6/?w=205&h=64,Using AI to identify and diagnose diseases in medical images.,Life Science & Healthcare,Seed Stage,SaaS,B2C,2017,1-10 Employees,Found,"Hamburg, DE",cellmatiq.com,"['https://twitter.com/cellmatiq', 'https://www.linkedin.com/company/cellmatiq/']",CellmatiQ GmbH,,"{'Jaroslav Bláha': 'Founder', 'Tassilo Wilhelm Albert Waldraff': 'Founder'}"
Forget Finance,https://cdn.startbase.com/images/company/forget-x/db17f28a55/?w=205&h=64,Offering of a web tool and an application,Finance & Insurance,Seed Stage,SaaS,B2C,2020,1-10 Employees,Found,"Berlin, DE",forget.finance,"['https://www.instagram.com/forget.finance/', 'https://www.linkedin.com/company/forget-finance', 'https://www.facebook.com/forget.finance']",Forget X GmbH,,"{'Konradin Breyer': 'Founder', 'Jurek Herwig': 'Founder'}"
Massmatics,https://cdn.startbase.com/images/company/massmatics/b9c74ed7a5/?w=205&h=64,App for learning mathematics for the Abitur and for the start of studies.,Education,Startup Stage,Platform,B2C,2012,1-10 Employees,Found,"Wolmirstedt, DE",massmatics.de,"['https://www.linkedin.com/company/massmatics', 'https://www.facebook.com/MassMatics/']",Massmatics UG,,"{'Robert Koschig': 'Founder', 'Stephan Claus': 'Founder', 'Christopher Heymann': 'Founder'}"
Movinga,https://cdn.startbase.com/images/company/movinga/7ab745029b/?w=205&h=64,Online provider of removals.,IT and Communications,Growth Stage,Platform,B2B2C,2015,101-250 Employees,Found,"Berlin, DE",movinga.de,"['https://twitter.com/Movinga', 'http://www.linkedin.com/company/movinga-gmbh', 'https://www.youtube.com/channel/UCzEocMA8PsmQ7M6kZkyrJWw', 'https://www.facebook.com/movinga.de/']",Movinga GmbH,,"{'Bastian Knutzen': 'Founder', 'Chris Jan Maslowski': 'Founder'}"
feel.yt,https://cdn.startbase.com/images/company/feel-yt/14830d20dd/?w=205&h=64,Movie search engine that provides personalized movie recommendations.,"Media, Arts & Entertainment",Startup Stage,Platform,B2B2C,2014,1-10 Employees,Found,"Frankfurt am Main, DE",feel.yt,"['https://www.twitter.com/feelyt', 'https://www.linkedin.com/company/feelyt', 'https://www.youtube.com/user/feelytofficial', 'https://www.facebook.com/feel.yt']",feel.yt GmbH & Co. KG,,{}
become a pro,https://cdn.startbase.com/images/company/become-a-pro/55da86913e/?w=205&h=64,Sponsoring platform to connect athletes and sponsors.,Sports & Amusement/Gaming incl. Online,Startup Stage,Platform,B2B2C,2017,1-10 Employees,Found,"Laupheim, DE",become-a-pro.net,"['https://www.linkedin.com/company/becomeaprogmbh/', 'https://de-de.facebook.com/becomeaproGmbH/']",become a pro GmbH,,{'Martin Werz': 'Founder'}
chariteam,https://cdn.startbase.com/images/company/chariteam/9db19bdd80/?w=205&h=64,Engagement agency for NGOs and networking with volunteers.,IT and Communications,Seed Stage,Platform,B2B2C,2012,11-50 Employees,Found,"Berlin, DE",chariteam.de,['https://www.linkedin.com/company/chariteam/'],Chariteam UG,,{'Alexander Hain': 'Founder'}
Legalbase,https://cdn.startbase.com/images/0de140375d93a415b8c27ece1ea251dd/c6d07393a628d81/?w=205&h=64,,Consulting,Startup Stage,Sale of Services,B2B2C,2015,11-50 Employees,Found,"Wiesbaden, DE",legalbase.de,"['https://twitter.com/legalbaseteam', 'https://www.linkedin.com/company/legalbase-digital/', 'https://www.facebook.com/legalbaseteam/']",firma.de Firmenbaukasten AG,,{}
